circ_id	gene_id	gene_name	circ_name	logFC	logCPM	LR	PValue	DE	FDR	Regulation	label	annotation
2:2829591|2866680	ENSSSCG00000033043	SHANK2	circSHANK2_9	4.420234221087	-4.71029222228227	112.300873255495	3.07000443215967e-26	1	4.92378474482248e-22	Up	Up	
9:24916811|24920113			circ9:24916811|24920113	2.12051916346289	-1.46466750449068	94.0607013428562	3.05994578722086e-22	1	2.69920877836539e-18	Up	Up	
11:71187145|71192994	ENSSSCG00000042169		circENSSSCG00000042169_4	2.93303249622916	-4.09797569629097	89.8024551630512	2.63167496388766e-21	1	2.06349049101773e-17	Up	Up	
15:5048148|5073704			circ15:5048148|5073704	3.79040077446003	-5.05874886034699	69.1872369325845	8.95456496595927e-17	1	3.25728301118447e-13	Up	Up	
8:107910733|107911949	ENSSSCG00000033834	NDST4	circNDST4_2	3.6488585517189	-5.05081688722021	66.7663909554601	3.05665275004053e-16	1	1.00796409620121e-12	Up	Up	
2:120584609|120616471	ENSSSCG00000014224	SEMA6A	circSEMA6A_6	2.29814747417893	-3.48255972143675	62.3458663365965	2.88135598588808e-15	1	8.19894493132818e-12	Up	Up	
3:48541228|48541520	ENSSSCG00000038228		circENSSSCG00000038228_1	2.26532607512491	-4.28835342319973	54.0575175892237	1.94705746636488e-13	1	3.97873232643104e-10	Up	Up	
8:75068655|75069039			circ8:75068655|75069039	2.63718516679341	-4.1610549884922	50.5668631589367	1.15173319363596e-12	1	1.90789740363984e-09	Up	Up	
14:109897301|109900759	ENSSSCG00000010535	HPSE2	circHPSE2_2	3.07196311017292	-5.09930876365621	48.9911679802597	2.5711765274111e-12	1	3.89366614007657e-09	Up	Up	
8:42879173|42898697	ENSSSCG00000008853	TLL1	circTLL1_7	2.32206403578708	-4.56241667109775	48.008673954013	4.24337773515707e-12	1	6.08638363245431e-09	Up	Up	
13:200707866|200718953	ENSSSCG00000012062	TTC3	circTTC3_11	1.46341360499081	-1.46950998789222	46.4540105678457	9.37941851867157e-12	1	1.24885718784987e-08	Up	Up	
12:55382851|55384802			circ12:55382851|55384802	2.78549755717344	-5.00334038416147	43.4651976349848	4.31566867015368e-11	1	4.80365235410632e-08	Up	Up	
6:15798085|15863316	ENSSSCG00000002752	ZFHX3	circZFHX3_10	2.31497212432479	-4.74966118051079	41.8482796928979	9.86375179961042e-11	1	1.00298721613307e-07	Up	Up	
13:166836891|166837551	ENSSSCG00000026130	EPHA3	circEPHA3_12	1.30709250329739	0.0434976566945207	40.7204111430211	1.75642931030654e-10	1	1.69793299607068e-07	Up	Up	
8:105286131|105357304	ENSSSCG00000009116,ENSSSCG00000009115	NDST3	circNDST3_10	2.43818503285348	-4.90959223050239	40.6713607105391	1.80107604944805e-10	1	1.71896800903344e-07	Up	Up	
14:138928895|138935791	ENSSSCG00000010757	EBF3	circEBF3_11	1.7414013453309	-3.98120854179192	39.4138164178229	3.42862419295379e-10	1	3.03200369608669e-07	Up	Up	
14:109897301|109917904	ENSSSCG00000010535	HPSE2	circHPSE2_3	3.08973683313524	-5.3468585116374	38.8628719056484	4.54646084093564e-10	1	3.92222843266282e-07	Up	Up	
3:48688789|48702980	ENSSSCG00000008141	ST6GAL2	circST6GAL2_2	2.89147616184626	-5.25579461456842	37.9471217569897	7.26882260566975e-10	1	6.00646473881718e-07	Up	Up	
12:25235501|25236446	ENSSSCG00000023128	IGF2BP1	circIGF2BP1_3	1.43608336542847	-2.83327896937513	37.672789042817	8.36635213630302e-10	1	6.77068154399473e-07	Up	Up	
4:59472390|59552301	ENSSSCG00000006169	ZFHX4	circZFHX4_6	2.15133787464266	-4.73269381928721	37.5826354015115	8.76210524908137e-10	1	7.05857594636271e-07	Up	Up	
8:136786731|136796831	ENSSSCG00000009250	PRKG2	circPRKG2_2	2.47593781260063	-5.02154374647803	37.025785949378	1.16577315982158e-09	1	8.94208836530623e-07	Up	Up	
7:27533507|27540399	ENSSSCG00000001490	KHDRBS2	circKHDRBS2_7	1.91966746711034	-4.52178663954257	35.4948640180524	2.55723958380953e-09	1	1.77969752210984e-06	Up	Up	
9:84105161|84119222	ENSSSCG00000015355	DGKB	circDGKB_25	1.97612530702499	-4.61403304571339	35.1215443826935	3.09754767498791e-09	1	2.14304139575183e-06	Up	Up	
5:86173516|86211231	ENSSSCG00000050424		circENSSSCG00000050424_8	2.98395292396841	-5.42389147348179	34.2207579216141	4.92013258062854e-09	1	3.20914375653204e-06	Up	Up	
2:137892610|137907959			circ2:137892610|137907959	2.73074653627014	-5.26065460114526	34.1732122319212	5.0418232277836e-09	1	3.28224552580088e-06	Up	Up	
15:74668450|74673181	ENSSSCG00000022496	STK39	circSTK39_24	1.57637119045238	-3.87947303159417	33.9518423164415	5.64931677729679e-09	1	3.61765431754721e-06	Up	Up	
12:2587394|2588793			circ12:2587394|2588793	2.81244391267166	-5.32523211235432	33.9063048728705	5.78309885925935e-09	1	3.68327027779153e-06	Up	Up	
3:54271064|54276460	ENSSSCG00000008179	REV1	circREV1_4	1.34884796783463	-3.0182215610784	32.5251930414647	1.17657393139395e-08	1	6.91911753747947e-06	Up	Up	
6:128884547|128885303	ENSSSCG00000003756	LPAR3	circLPAR3_1	1.58418237890812	-3.69618392185916	31.6683794864468	1.82875638184548e-08	1	1.02260810902676e-05	Up	Up	
5:86144043|86211231	ENSSSCG00000050424		circENSSSCG00000050424_6	4.61133840358169	-4.5236057021659	31.0640382235183	2.4965416351336e-08	1	1.32583954318242e-05	Up	Up	
2:91768020|91804107	ENSSSCG00000014136	VCAN	circVCAN_30	1.75521182422789	-4.52228661673221	30.468454916174	3.39339729467774e-08	1	1.72279118711262e-05	Up	Up	
5:4798320|4812837	ENSSSCG00000039522	SHISAL1	circSHISAL1_2	1.35865398142723	-3.26394600087093	29.9226468394563	4.496303141821e-08	1	2.19432031227205e-05	Up	Up	
X:47763412|47825450	ENSSSCG00000039027,ENSSSCG00000038263	SNORA11G	circSNORA11G_2	2.79644488885218	-5.46326523380096	29.2936527040777	6.21990979615799e-08	1	2.945391735858e-05	Up	Up	
14:26477546|26478440	ENSSSCG00000009753	TMEM132C	circTMEM132C_2	2.74321503666457	-5.52722545287837	29.2660334832644	6.3091999704963e-08	1	2.97615421709866e-05	Up	Up	
13:5387101|5393008	ENSSSCG00000011201	SATB1	circSATB1_6	2.02728678575619	-4.91309917635134	29.1169532905826	6.81381175288061e-08	1	3.17597436477332e-05	Up	Up	
9:97468566|97506201	ENSSSCG00000015401	PCLO	circPCLO_22	2.21793516862166	-5.09641182463408	29.0437733800079	7.07611721887333e-08	1	3.27659514957499e-05	Up	Up	
8:105307679|105357304	ENSSSCG00000009116,ENSSSCG00000009115	NDST3	circNDST3_13	2.24307412073075	-5.13482773998258	28.4908679710463	9.41414692230199e-08	1	4.18353306883214e-05	Up	Up	
1:242242621|242259806	ENSSSCG00000037954,ENSSSCG00000005391	CAVIN4,MSANTD3-TMEFF1	circCAVIN4,MSANTD3-TMEFF1_2	1.15364791153866	-1.8490084608129	28.4655313604809	9.53815299422375e-08	1	4.22268513813536e-05	Up	Up	
X:18620321|18629849	ENSSSCG00000041679		circENSSSCG00000041679_1	2.74290134082626	-5.47617396367647	28.1969037088399	1.09579723727407e-07	1	4.75578696665109e-05	Up	Up	
10:54449346|54504293	ENSSSCG00000032444	PLXDC2	circPLXDC2_14	2.01035347722136	-4.97391487058605	27.4661329185215	1.59869670406485e-07	1	6.58984275524599e-05	Up	Up	
8:42908218|42929699	ENSSSCG00000008853	TLL1	circTLL1_20	2.3658176329048	-5.24874540013828	27.2511741680126	1.78666596553466e-07	1	7.22952254521917e-05	Up	Up	
15:123386771|123389330	ENSSSCG00000016230	EPHA4	circEPHA4_4	1.26319444177744	-3.24818133744453	27.2277924083514	1.8084035783659e-07	1	7.29239259662788e-05	Up	Up	
4:40314498|40327222	ENSSSCG00000006089	PTDSS1	circPTDSS1_1	1.73086641866581	-4.67142414077753	26.3726578765104	2.81497226347881e-07	1	0.000106002782639799	Up	Up	
8:132158669|132165251	ENSSSCG00000026655	PTPN13	circPTPN13_87	1.62306119937924	-4.51276941652706	26.2737335509199	2.96291115511585e-07	1	0.000110527488128829	Up	Up	
8:75265069|75322428			circ8:75265069|75322428	1.93853868668815	-4.95302489504522	26.2258025452434	3.0373689885472e-07	1	0.00011269373537276	Up	Up	
10:43606150|43614408	ENSSSCG00000011034	ST8SIA6	circST8SIA6_2	1.80886909621718	-4.80194705873048	26.0649872908161	3.30116351850164e-07	1	0.000120082035105381	Up	Up	
8:73694506|73710177	ENSSSCG00000008990,ENSSSCG00000008991	FRAS1	circFRAS1_7	1.52993124964972	-4.3396507579753	25.7819943352321	3.8223777189452e-07	1	0.000136924166889696	Up	Up	
5:3895045|3897222	ENSSSCG00000000010	FBLN1	circFBLN1_5	1.6970569178944	-4.69590756210982	25.252645344562	5.02905466900254e-07	1	0.000175690273824706	Up	Up	
11:12349520|12353257	ENSSSCG00000024635	SPART	circSPART_13	2.20510319135313	-5.22959079941816	24.5953766960505	7.07212050125117e-07	1	0.00023299302391629	Up	Up	
8:75265069|75268774			circ8:75265069|75268774	2.34528578177001	-5.32970687411216	24.3008376893986	8.24032183133225e-07	1	0.000263364865602771	Up	Up	
1:232407233|232434510	ENSSSCG00000005288	TLE4	circTLE4_7	2.24869521882266	-4.81485751618752	24.1880962007476	8.7370639008282e-07	1	0.000275006295720234	Up	Up	
12:28317282|28342833	ENSSSCG00000023169	CA10	circCA10_2	2.39892628538703	-5.38406796105316	23.7523467889067	1.09561703690138e-06	1	0.000332400599972856	Up	Up	
9:2542520|2544109			circ9:2542520|2544109	1.72383330101758	-4.83692475308083	23.4031667062943	1.31362113080543e-06	1	0.000387070016786562	Up	Up	
10:47831294|47907322	ENSSSCG00000011056	FRMD4A	circFRMD4A_6	2.15034703805963	-5.24348783227929	23.0564673301785	1.57312450844426e-06	1	0.000452009400698296	Up	Up	
8:42968179|42975076	ENSSSCG00000008853	TLL1	circTLL1_41	1.95380886252491	-5.09955715584678	22.9508272522464	1.66198670572948e-06	1	0.000469889452881742	Up	Up	
1:251717715|251735547	ENSSSCG00000005456	MUSK	circMUSK_14	2.22550987309997	-5.30525499121862	22.7818103591298	1.81475220451294e-06	1	0.000504589776870894	Up	Up	
1:139791489|139791984	ENSSSCG00000004825	CHSY1	circCHSY1_6	1.24124769423844	-3.7603271946432	22.7673250120493	1.82848251638319e-06	1	0.000507208400165651	Up	Up	
13:96293469|96315572	ENSSSCG00000025810	KCNAB1	circKCNAB1_3	1.84493875150619	-4.99674592238409	22.5901134864822	2.00513789679748e-06	1	0.000547601297258212	Up	Up	
6:15853429|15863316	ENSSSCG00000002752	ZFHX3	circZFHX3_12	1.43167038844238	-4.38265207955065	22.5314006889553	2.06736461808292e-06	1	0.000561120924079115	Up	Up	
8:42908218|42941575	ENSSSCG00000008853	TLL1	circTLL1_21	2.0245731723607	-5.17751276768788	22.4629035557221	2.1424140508853e-06	1	0.000576397157935154	Up	Up	
5:43936500|43956763	ENSSSCG00000027447	TMTC1	circTMTC1_4	1.19118508201454	-3.57434700430191	22.2225058312415	2.42810879068096e-06	1	0.000637458049210588	Up	Up	
1:31303623|31305779	ENSSSCG00000004191	MOXD1	circMOXD1_1	1.35177851026588	-4.21575919203219	21.9431688728614	2.80844782211922e-06	1	0.000718596057540127	Up	Up	
6:117384662|117444584	ENSSSCG00000003736	ASXL3	circASXL3_16	1.58214706162309	-4.7258150581624	21.7122486696398	3.16762274695302e-06	1	0.000797770649911414	Up	Up	
9:2587898|2589883	ENSSSCG00000014600		circENSSSCG00000014600_3	1.21288221440743	-3.79192601313765	21.4891180380258	3.55842245448477e-06	1	0.000879865460778014	Up	Up	
1:251664854|251678753	ENSSSCG00000005456	MUSK	circMUSK_4	1.94965187291484	-5.1589575328473	21.4170239161011	3.6947601262761e-06	1	0.000909751529655105	Up	Up	
8:42941451|42975076	ENSSSCG00000008853	TLL1	circTLL1_35	1.9196667602251	-5.15361117498915	21.1863294665721	4.16726350986398e-06	1	0.00100850063503048	Up	Up	
9:49291933|49309752	ENSSSCG00000050772		circENSSSCG00000050772_16	1.23013361165886	-3.92130279659173	21.1754213404681	4.19104944339657e-06	1	0.00101356178876341	Up	Up	
18:12094561|12099905	ENSSSCG00000016521	DGKI	circDGKI_38	2.10807071530013	-5.28666485274477	21.1595219160819	4.22596348874119e-06	1	0.00101990824980944	Up	Up	
1:243353403|243354450	ENSSSCG00000005400	GRIN3A	circGRIN3A_3	1.85829734900856	-5.09848121429736	21.1092477880883	4.33829433728743e-06	1	0.00104202935816599	Up	Up	
9:71207491|71213463	ENSSSCG00000015307	CDK14	circCDK14_25	2.2266374460915	-5.37706698677172	20.8927280686004	4.85735100324398e-06	1	0.00114564649558063	Up	Up	
9:58946282|58951929	ENSSSCG00000015253	NTM	circNTM_5	2.32094723189946	-5.43833290993536	20.8727255319522	4.90834006548717e-06	1	0.00115508156370707	Up	Up	
13:166836891|166863547	ENSSSCG00000026130	EPHA3	circEPHA3_13	1.33946664109147	-4.30959288070962	20.6646605334011	5.4716613551852e-06	1	0.00127015978895327	Up	Up	
3:48623130|48643634	ENSSSCG00000038228		circENSSSCG00000038228_9	2.08610396952908	-5.30001834194367	20.6555073593995	5.49788155125021e-06	1	0.00127456932856066	Up	Up	
4:129998560|130012021	ENSSSCG00000031738		circENSSSCG00000031738_4	2.13658218554625	-5.3278184073765	20.5113298086228	5.92793282580772e-06	1	0.00135556418016157	Up	Up	
18:43624214|43653830	ENSSSCG00000016688	CPVL	circCPVL_9	1.4887291292418	-4.65271322737424	20.4190002097786	6.22090871509803e-06	1	0.00140525628339952	Up	Up	
14:138849883|138935791	ENSSSCG00000010757	EBF3	circEBF3_7	1.43895144762694	-4.56540171240997	20.3200892391163	6.55091510998453e-06	1	0.00146945396762071	Up	Up	
9:132562985|132578115	ENSSSCG00000015607	HHAT	circHHAT_5	1.48784384194152	-4.65580305173285	20.1886740259822	7.01671516634683e-06	1	0.00155417818339892	Up	Up	
9:2050875|2055979	ENSSSCG00000014598	PPFIBP2	circPPFIBP2_27	1.74215747349006	-5.02983235908121	20.0909723165981	7.38444185987852e-06	1	0.00161835776621551	Up	Up	
14:726873|749275	ENSSSCG00000039841	SHC3	circSHC3_8	2.11064007621486	-5.3385262478108	19.9138443329012	8.10115521916659e-06	1	0.00174935374060686	Up	Up	
8:109492834|109518213	ENSSSCG00000009125		circENSSSCG00000009125_70	1.12512007301617	-3.35819407795222	19.8883348081491	8.20997568386667e-06	1	0.00176744396595378	Up	Up	
2:17178024|17186905	ENSSSCG00000013276	PRDM11	circPRDM11_1	1.62937984405102	-4.90942699703034	19.8596787179036	8.33397025393936e-06	1	0.00179085956168147	Up	Up	
1:232392205|232434510	ENSSSCG00000005288	TLE4	circTLE4_5	1.76940398445004	-4.9425629464863	19.8313384990746	8.45844714591068e-06	1	0.00181209005752988	Up	Up	
14:82179647|82193749			circ14:82179647|82193749	2.18014476385119	-5.39544141507909	19.6793518145181	9.15856391549405e-06	1	0.0019327418218891	Up	Up	
6:112429888|112442415	ENSSSCG00000003722	CDH2	circCDH2_10	1.62990214952963	-4.94950120612806	19.2611129619854	1.14004842319261e-05	1	0.00230389029686696	Up	Up	
2:4608364|4615679	ENSSSCG00000012885	LRP5	circLRP5_37	1.09328508583418	-3.55614625295189	18.9243775501138	1.36003617034006e-05	1	0.00266009203152699	Up	Up	
9:31399805|31408451	ENSSSCG00000014975	CNTN5	circCNTN5_17	2.27987603700626	-5.51667834226723	18.8292999007387	1.42954116162093e-05	1	0.00277603203979624	Up	Up	
3:11578381|11580462	ENSSSCG00000007720	GTF2IRD1	circGTF2IRD1_7	2.13867532768817	-5.39896887850331	18.7199322988585	1.51391687765405e-05	1	0.00290629209346554	Up	Up	
13:168849106|168855082	ENSSSCG00000041986		circENSSSCG00000041986_1	1.13140832159012	-3.80263482548504	18.5829957839529	1.62665052829608e-05	1	0.00308577354304357	Up	Up	
5:30878000|30880496	ENSSSCG00000000478	GRIP1	circGRIP1_15	1.29411990379151	-4.4142987134657	18.2475387767457	1.93976429990637e-05	1	0.00355920018011526	Up	Up	
6:117384662|117405373	ENSSSCG00000003736	ASXL3	circASXL3_13	1.6830004992493	-5.07254960689477	18.124740561281	2.06895705020147e-05	1	0.00374263391283047	Up	Up	
2:65593910|65644625	ENSSSCG00000047920		circENSSSCG00000047920_3	2.11829923082492	-5.43136253567626	18.0070741186877	2.20085590016082e-05	1	0.00392201413755729	Up	Up	
5:6741774|6758430	ENSSSCG00000026092	SREBF2	circSREBF2_4	2.0450894852037	-5.38523941508133	17.6435313370221	2.6641985226697e-05	1	0.00456111821219246	Up	Up	
8:75265069|75266523			circ8:75265069|75266523	2.04410680939464	-5.38443279990993	17.6400003560038	2.66914930356327e-05	1	0.00456679765803331	Up	Up	
8:75316067|75322428			circ8:75316067|75322428	2.11308872584044	-5.44270845074673	17.6363013502571	2.67434558687675e-05	1	0.00456962127968978	Up	Up	
14:102443761|102454503	ENSSSCG00000010459	HTR7	circHTR7_1	1.78081000951678	-5.19341702325911	17.6301568369214	2.68299974402269e-05	1	0.00457997272220581	Up	Up	
3:54273671|54276460	ENSSSCG00000008179	REV1	circREV1_5	1.30857355195359	-4.52120851417566	17.5080258571286	2.86097407037002e-05	1	0.00485325737925789	Up	Up	
6:14664210|14694080	ENSSSCG00000002739	PHLPP2	circPHLPP2_15	2.0410596432001	-5.39348273367769	17.4933293581163	2.88317513312685e-05	1	0.00488856822043734	Up	Up	
10:17903453|17903989	ENSSSCG00000010879	KIF26B	circKIF26B_1	1.53873007556796	-4.94534692229971	17.4270974939124	2.98539549453247e-05	1	0.00502068827739089	Up	Up	
1:223459542|223465757	ENSSSCG00000030655	MAMDC2	circMAMDC2_5	1.40946900110666	-4.73511531300224	17.2480633110722	3.28031751425051e-05	1	0.00541872824437362	Up	Up	
11:12329784|12338581	ENSSSCG00000024635	SPART	circSPART_9	1.33277139382109	-4.61344257124977	17.2154765929333	3.33706672869563e-05	1	0.00549190285830168	Up	Up	
4:100284211|100304676	ENSSSCG00000006701	CHD1L	circCHD1L_7	1.91762811581989	-5.18829272948328	17.1750456258824	3.40885022879688e-05	1	0.00558847596033969	Up	Up	
13:166817319|166837551	ENSSSCG00000026130	EPHA3	circEPHA3_11	1.26393421715258	-4.43429767402404	17.1560793630468	3.44305684456393e-05	1	0.00563218335309835	Up	Up	
5:5474637|5483948	ENSSSCG00000038685	MPPED1	circMPPED1_3	1.94628482842946	-5.35725456900477	16.8934675279554	3.95374163670924e-05	1	0.00631246160209518	Up	Up	
11:3579110|3583217	ENSSSCG00000035421	ATP8A2	circATP8A2_21	1.07033101144025	-2.42402364984631	16.8601150895703	4.02383061499424e-05	1	0.00640035038738346	Up	Up	
14:79581290|79655723	ENSSSCG00000010325	KCNMA1	circKCNMA1_30	1.61264739303061	-5.0578213091915	16.8454034971127	4.05514220812929e-05	1	0.00642781939481209	Up	Up	
9:119049121|119055899	ENSSSCG00000015515	BRINP2	circBRINP2_1	1.71476733319467	-5.16047652877059	16.8204414097677	4.1088319997858e-05	1	0.00649250657470856	Up	Up	
17:31296014|31323406			circ17:31296014|31323406	1.71383944531503	-5.18847474881361	16.3610260355676	5.23507100796456e-05	1	0.0078871195334511	Up	Up	
1:137207938|137211344	ENSSSCG00000027232		circENSSSCG00000027232_1	1.69105260078415	-5.17257830080448	16.2300673468795	5.6096685241966e-05	1	0.00830259178167628	Up	Up	
8:12381293|12382835	ENSSSCG00000034811	QDPR	circQDPR_2	1.73787720643279	-5.17413491300669	16.1329224226266	5.90485900504844e-05	1	0.00862360065584649	Up	Up	
16:49139185|49143198	ENSSSCG00000027293	TNPO1	circTNPO1_72	1.33855021735183	-4.67777417081506	16.0644468680858	6.12227403629775e-05	1	0.00885331008222723	Up	Up	
AEMK02000328.1:226184|230090	ENSSSCG00000035657	DIP2A	circDIP2A_1	1.32063628236731	-4.67554094155285	15.9992028683375	6.33691593917017e-05	1	0.00908181465329227	Up	Up	
6:163324795|163348482	ENSSSCG00000003881	SPATA6	circSPATA6_28	2.06888356556391	-5.4896010126466	15.8694225852	6.78664062421847e-05	1	0.00956320057672421	Up	Up	
6:15860537|15863316	ENSSSCG00000002752	ZFHX3	circZFHX3_14	1.52941649748191	-5.01913172710806	15.8316542307853	6.9234521797244e-05	1	0.00971717804655003	Up	Up	
