circ_name	circ_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	M300_1SF	M300_2SF	M300_3SF	M300_1PF	M300_2PF	M300_3PF	W300_1SF	W300_2SF	W300_3SF	W300_1PF	W300_2PF	W300_3PF
sus_circARFGAP3_14	5:6010064|6014815	7.50642193209733	3.4560161947087	0.698263665381695	4.9494429769871	7.44261787939709e-07	0.000307927786302489	11.6455027041635	24.6781879888466	15.4587029922907	10.7266958155886	10.2630906368786	10.9821624057726	0	0	4.53994130427387	0	0	1.78277933735344
sus_circASCC3_66	1:67576479|67584208	5.69608390967095	2.25090930298144	0.637247666496338	3.53223624239725	0.000412061057197691	0.0317973782470885	9.98185946071154	7.96070580285374	9.93773763790118	6.43601748935316	9.23678157319072	12.2741815123341	2.55601278023448	0	5.44792956512864	1.18076684858986	2.89531941141562	0.445694834338361
sus_circBRD4_9	2:62312200|62313757	6.04168778904988	3.4912496434171	0.790757951356852	4.41506738873318	1.00978528759828e-05	0.00233765294079002	9.98185946071154	7.96070580285374	20.9796683466803	9.65402623402974	6.15785438212715	13.5662006188956	0	1.08007478293194	0	0	0	3.11986384036853
sus_circCEP112_39	12:12736751|12757927	2.64281003139669	4.37208205693208	1.11657962805705	3.91560256615098	9.01786967315218e-05	0.0112374997046568	3.32728648690385	0.796070580285374	2.20838614175582	5.3633479077943	9.23678157319072	10.3361528524919	0	0	0	0	0	0.445694834338361
sus_circCOG7_21	3:22810516|22822228	7.19454566943081	2.07111482485544	0.555377938366871	3.7291989504403	0.000192089448548324	0.0206831196925288	5.82275135208173	19.105693926849	8.83354456702327	8.58135665247088	10.2630906368786	17.4422579385801	2.55601278023448	1.08007478293194	4.53994130427387	3.54230054576959	1.44765970570781	3.11986384036853
sus_circCYTH3_4	3:4974527|4985274	13.3463667727013	2.5253486728627	0.469798605043644	5.37538563493201	7.64189451006174e-08	8.84549289539646e-05	33.2728648690385	28.6585408902735	20.9796683466803	18.2353828865006	21.552490337445	13.5662006188956	5.11202556046897	7.56052348052357	5.44792956512864	3.54230054576959	0	2.2284741716918
sus_circENSSSCG00000009208_4	8:130375702|130385729	4.93642559544035	2.96645632856665	0.759544653675238	3.90557199529053	9.40027652707006e-05	0.0112374997046568	10.8136810824375	4.77642348171225	11.0419307087791	9.65402623402974	10.2630906368786	7.75211463936891	0	0	1.81597652170955	0	0	3.11986384036853
sus_circENSSSCG00000012362_22	X:50389422|50425041	2.84130128232252	3.44638767902172	1.0382378813156	3.31945861448884	0.000901921724063646	0.0497484987152528	6.65457297380769	4.77642348171225	4.41677228351164	5.3633479077943	9.23678157319072	0.646009553280743	2.55601278023448	0	0	0	0	0.445694834338361
sus_circENSSSCG00000012362_33	X:50449310|50450917	3.20807005297705	3.53644774191936	0.994652149978394	3.55546181848215	0.000377315739588714	0.0303443004178319	11.6455027041635	5.57249406199762	4.41677228351164	6.43601748935316	4.10523625475143	2.58403821312297	2.55601278023448	0	0	1.18076684858986	0	0
sus_circENSSSCG00000026354_26	10:48164054|48164543	13.3596541923023	4.49647442292681	1.14580597713391	3.92428955046488	8.69860623639585e-05	0.0111873741318091	33.2728648690385	39.0074584339833	0	39.6887745176778	40.0260534838265	1.93802865984223	0	1.08007478293194	0	1.18076684858986	1.44765970570781	2.67416900603017
