circ_id	gene_id	gene_name	circ_name	logFC	logCPM	LR	PValue	DE	FDR	Regulation	label	annotation
8:111823361|111839842	ENSSSCG00000009132	ENPEP	circENPEP_16	2.69522963618861	-3.66654201850352	54.2143403893177	1.79770089592592e-13	1	1.37196512783449e-09	Up	Up	
1:2552419|2552763	ENSSSCG00000032916		circENSSSCG00000032916_1	3.94489785664788	-4.9287573304212	53.1227501951107	3.13342261331326e-13	1	2.21247583242143e-09	Up	Up	
15:139852404|139855091	ENSSSCG00000016381	SNED1	circSNED1_1	4.08397439294981	-5.19940186920167	45.9623379134986	1.20548329216629e-11	1	4.83790608758619e-08	Up	Up	
5:6519442|6566862	ENSSSCG00000000046,ENSSSCG00000000045,ENSSSCG00000032171	CYP2D25,NDUFA6,TCF20	circCYP2D25,NDUFA6,TCF20_2	3.99205679460872	-5.23075081564252	41.8973250339458	9.61941452395586e-11	1	2.48821871547232e-07	Up	Up	
7:121777786|121786686	ENSSSCG00000018918,ENSSSCG00000019064,ENSSSCG00000018325,ENSSSCG00000018389	SNORD113-8,SNORD113-9,SNORD113-7,SNORD114-1	circSNORD113-8,SNORD113-9,SNORD113-7,SNORD114-1_1	2.51383041500409	-4.15765961379855	41.4456592350893	1.21193370309088e-10	1	2.95907771713646e-07	Up	Up	
5:82583909|82617949	ENSSSCG00000000866	MYBPC1	circMYBPC1_52	2.97177003157233	-4.82599406429735	37.0915583552246	1.12710610228061e-09	1	1.93723585880998e-06	Up	Up	
1:116193122|116206833	ENSSSCG00000035798	PRTG	circPRTG_7	2.94641650457478	-4.88251723794577	35.1715605862127	3.01900340437399e-09	1	4.43103200226358e-06	Up	Up	
8:130298196|130299054	ENSSSCG00000026196	FAM13A	circFAM13A_26	2.31774771706802	-4.26512443111335	34.9793675042862	3.33217537690322e-09	1	4.71868042573058e-06	Up	Up	
12:55145578|55234508	ENSSSCG00000029441,ENSSSCG00000018005	MYH8	circMYH8_13	3.49669135979463	-5.27994056686323	34.0916080452572	5.25775289136624e-09	1	6.83384933397066e-06	Up	Up	
13:192408348|192417856	ENSSSCG00000026761	CCT8	circCCT8_1	2.49455577497906	-4.53308785798033	33.7532901809142	6.25631413784541e-09	1	8.0516297411553e-06	Up	Up	
3:53237773|53252804	ENSSSCG00000008169	TBC1D8	circTBC1D8_14	3.50296066230489	-5.38160350909961	33.0906538187365	8.79605175047254e-09	1	1.08395986224821e-05	Up	Up	
2:118773810|118774228	ENSSSCG00000014213	KCNN2	circKCNN2_8	2.11731857622962	-4.02702108001594	32.3664117950971	1.27674330092389e-08	1	1.47435553013997e-05	Up	Up	
14:105704400|105713384	ENSSSCG00000010483	PLCE1	circPLCE1_34	3.13270673076196	-5.16292512356566	31.3830027022393	2.11827226763617e-08	1	2.26805321613423e-05	Up	Up	
7:121738955|121762492	ENSSSCG00000018957,ENSSSCG00000018261	SNORD113-1	circSNORD113-1_2	3.37068791877165	-5.32774907484398	30.8108802936928	2.84438594185736e-08	1	2.78316239875679e-05	Up	Up	
X:98438834|98448551	ENSSSCG00000012607	TMEM255A	circTMEM255A_5	3.055869303393	-5.17452310241263	29.7862355463729	4.82404844985954e-08	1	4.24513249919872e-05	Up	Up	
7:121661478|121661871	ENSSSCG00000051274		circENSSSCG00000051274_3	1.76508137508951	2.58545247512492	29.5260059944251	5.51714337513848e-08	1	4.71036032086619e-05	Up	Up	
11:48077009|48108814	ENSSSCG00000040184	LMO7	circLMO7_26	1.62405333430037	0.243896303568072	29.268526369824	6.30108826181763e-08	1	5.1929912039894e-05	Up	Up	
7:121770913|121786686	ENSSSCG00000018436,ENSSSCG00000018918,ENSSSCG00000018389,ENSSSCG00000018325,ENSSSCG00000019064,ENSSSCG00000038498,ENSSSCG00000018884	SNORD113-5,SNORD113-8,SNORD114-1,SNORD113-7,SNORD113-9,SNORD113-6,SNORD113-4	circSNORD113-5,SNORD113-8,SNORD114-1,SNORD113-7,SNORD113-9,SNORD113-6,SNORD113-4_7	2.03753029196457	-3.89820663345617	29.0778185702383	6.952850443404e-08	1	5.55490225348815e-05	Up	Up	
15:44215601|44241240	ENSSSCG00000015774	TENM3	circTENM3_13	3.17306878104411	-5.28784450876479	28.607703935152	8.86288674949782e-08	1	6.81016397637222e-05	Up	Up	
9:123575319|123591451	ENSSSCG00000050502		circENSSSCG00000050502_2	3.26004984204195	-5.44461726380115	28.2236037027278	1.08078510304756e-07	1	7.84328751462453e-05	Up	Up	
