Row.names	circ_name	logFC	logCPM	LR	PValue	DE	FDR	LD0_1	LD0_2	LD0_3	TD0_1	TD0_2	TD0_3
1:106148090|106150609	sus_circWDR7_30	3.12171353285809	-0.713201289949347	17.1872854591399	3.3869566214071e-05	1	0.0159818127619594	0.163	0.42	0.2665	2.3611	2.3567	3.2897
1:110043814|110045873	sus_circVPS13C_100	6.47235375592077	-3.84019858770754	19.5635472827559	9.73082441158388e-06	1	0.00798648403558144	NA	NA	NA	0.3974	0.1144	0.2641
1:115553445|115585772	sus_circTEX9_19	4.2606047769053	-2.45852397394996	21.4620716146907	3.60896822031622e-06	1	0.0038083207505813	0.0815	0.0247	NA	0.5844	0.3432	1.4167
1:129064488|129078630	sus_circENSSSCG00000004729_39	5.90336766819694	-4.23915887739888	14.3378770635023	0.000152760172897882	1	0.0392104104025142	NA	NA	NA	0.0468	0.2288	0.2401
1:129106542|129114618	sus_circTMEM87A_3	-5.99788224707139	-4.17731626307238	15.2704056727811	9.31647756331252e-05	-1	0.0292150673777838	0.428	NA	0.082	NA	NA	NA
1:14817548|14851934	sus_circRMND1_17	-3.6405163219883	-2.95963822951628	15.1959324938064	9.69119413383733e-05	-1	0.0299660737682561	0.4076	0.42	0.5739	0.0935	0.0229	NA
1:187315688|187323793	sus_circACTR10_5	-4.5026232859287	-3.2645477672894	17.8808440967208	2.35176421282036e-05	-1	0.0128151872842867	0.428	0.2717	0.4304	0.0468	NA	NA
1:19842578|19882686	sus_circFBXO30_7	4.09404052824508	-3.54774540833908	14.150569392306	0.000168746025559483	1	0.0417034787330648	NA	NA	0.041	0.3273	0.2974	0.3362
1:203560906|203561227	sus_circDENND4C_112	6.2419111373264	-4.00736592035602	17.4267907071778	2.98587735710456e-05	1	0.0150379641439629	NA	NA	NA	0.1636	0.2288	0.2641
1:222720533|222722403	sus_circFAM189A2_13	6.36849671921307	-3.91654703385948	18.564934150829	1.6421362400991e-05	1	0.0104970401194027	NA	NA	NA	0.187	NA	0.5283
1:235969399|235983215	sus_circENSSSCG00000005305_3	4.28266834616189	-3.45045108255002	15.7061851630625	7.3981852297772e-05	1	0.0256162163581035	0.0408	NA	NA	0.1403	0.0915	0.8164
1:248467612|248474020	sus_circRAD23B_13	3.25777676089964	-1.37049932163122	17.3735304413505	3.07072784453371e-05	1	0.0150540880569532	0.163	0.1235	0.1845	1.4494	1.0067	2.5694
1:252271582|252280307	sus_circECPAS_45	3.79437337747311	-0.717397526739458	23.4179796822463	1.30354471536709e-06	1	0.0019819627837682	NA	0.247	0.287	2.1975	1.5101	4.5624
1:266986661|267028781	sus_circU6,MVB12B_13	4.5527622645612	-3.82740984641451	14.0659372933311	0.000176511674417898	1	0.042983502253853	NA	NA	0.0205	0.1403	0.2059	0.4082
1:271373683|271384260	sus_circPRRC2B_17	8.00067963594299	-2.57946510000498	36.4416912443912	1.57302254653793e-09	1	1.30718173617302e-05	NA	NA	NA	0.3507	0.7551	1.1286
1:271392366|271397625	sus_circPRRC2B_31	4.32398833077041	-3.39729441431186	16.1471843429531	5.86056259076464e-05	1	0.0215254254714935	0.0204	0.0247	NA	0.2104	0.4118	0.4803
1:272124310|272138444	sus_circSETX_39	3.12556743024129	-2.19096807682759	14.4312891639772	0.000145366885940139	1	0.0379372936382384	0.1223	NA	0.1435	0.6078	1.0296	1.0806
1:65894300|65911662	sus_circFBXL4_8	6.07552075549362	-4.1233474542695	15.870719902148	6.78198985763082e-05	1	0.0239535841461919	NA	NA	NA	0.2572	0.1373	0.1921
1:75326041|75333864	sus_circENSSSCG00000004415_42	7.06919966112212	-3.37587231980408	25.5018742799147	4.41953373013821e-07	1	0.00101314000820548	NA	NA	NA	0.187	0.1373	0.8404
1:77086749|77087208	sus_circSLC16A10,RPF2_8	3.15017829288132	-0.34000109430226	17.9513514090732	2.26623459552532e-05	1	0.0125409198889654	0.4076	0.3953	0.287	2.6884	3.1575	4.6104
