circ_id	gene_id	gene_name	circ_name	logFC	logCPM	LR	PValue	DE	FDR	Regulation	label	annotation
13:140602397|140614602	ENSSSCG00000011893,ENSSSCG00000011894	COX17,POPDC2	circCOX17,POPDC2_1	-6.05212574104177	-3.39116126854836	285.909365825715	3.87159556813903e-64	-1	1.27073896897016e-58	Down	Down	
6:70609103|70612317	ENSSSCG00000003401	KIF1B	circKIF1B_55	-3.44623149149553	-1.29833488621291	178.74716252185	9.09851960637768e-41	-1	1.49316260186244e-35	Down	Down	
6:76170648|76174166	ENSSSCG00000003486	ARHGEF10L	circARHGEF10L_7	-4.2314133634465	-2.59932213360092	167.291437156911	2.88915508123887e-38	-1	3.16093789973102e-33	Down	Down	
14:41669450|41672257			circ14:41669450|41672257	-4.0507663163243	-3.51106331623473	164.377342054917	1.25120868689622e-37	-1	1.02668241605441e-32	Down	Down	
X:47764058|47767213	ENSSSCG00000024814	PFKFB1	circPFKFB1_2	-5.53373772062308	-4.56665724558718	161.604557195341	5.04757181991012e-37	-1	3.31343814060544e-32	Down	Down	
5:77436970|77447245	ENSSSCG00000026597	SLC38A4	circSLC38A4_21	-3.87578485976601	-3.27608458936211	153.399841548298	3.13248388299997e-35	-1	1.4687814179459e-30	Down	Down	
8:70653558|70656303	ENSSSCG00000008965		circENSSSCG00000008965_1	-4.61070029170983	-3.50463250465814	152.054526668644	6.16465493656646e-35	-1	2.52921150991847e-30	Down	Down	
X:47818210|47822636	ENSSSCG00000041777,ENSSSCG00000024814	PFKFB1	circPFKFB1_25	-5.73353692048055	-4.02340761934169	148.011109042971	4.71740027594137e-34	-1	1.72038870663306e-29	Down	Down	
6:55302098|55304287	ENSSSCG00000003218	MYBPC2	circMYBPC2_27	-7.09578452588983	-0.547866158944305	147.164535470111	7.22375626064406e-34	-1	2.37098850362486e-29	Down	Down	
9:41738255|41745104	ENSSSCG00000030095	ZBTB16	circZBTB16_15	-4.52238935824153	-4.012969431827	143.698142144237	4.13607093679515e-33	-1	1.2341321263144e-28	Down	Down	
10:27641998|27648976	ENSSSCG00000010947	FBP2	circFBP2_8	-4.67425220031913	-4.32436614899136	143.255797872482	5.16775917636242e-33	-1	1.41347257052071e-28	Down	Down	
X:47818210|47826089	ENSSSCG00000041777,ENSSSCG00000024814	PFKFB1	circPFKFB1_27	-3.75439961161542	1.80550075129986	142.577196314696	7.27236792724319e-33	-1	1.70495990960549e-28	Down	Down	
4:2880193|2887088	ENSSSCG00000038397	PTK2	circPTK2_93	-5.27933939159925	-4.61397640495546	142.686244676333	6.88386783192721e-33	-1	1.70495990960549e-28	Down	Down	
