circ_id	gene_id	gene_name	circ_name	logFC	logCPM	LR	PValue	DE	FDR	Regulation	label	annotation
6:155712041|155715446	ENSSSCG00000036145	PRKAA2	circPRKAA2_22	-3.98959645923544	-3.71225975844766	97.8164664585366	4.59014610064086e-23	-1	1.19918943923073e-17	Down	Down	
14:128078114|128104855	ENSSSCG00000010672	RAB11FIP2	circRAB11FIP2_3	-4.69140912380831	-4.724590544819	82.7606785007308	9.26141306429991e-20	-1	1.20978597364377e-14	Down	Down	
9:126352809|126371543	ENSSSCG00000015569	SWT1	circSWT1_3	-4.52468175748603	-4.80201878690531	75.3954094814354	3.85284730528085e-18	-1	3.35522639015513e-13	Down	Down	
1:230091380|230101283	ENSSSCG00000005282	VPS13A	circVPS13A_3	-2.60346833113944	1.85226524914389	70.1033692432851	5.62767656270518e-17	-1	2.75839130110631e-12	Down	Down	
4:50413105|50416871	ENSSSCG00000006137	WWP1	circWWP1_37	-2.7693440854861	-2.60147202372787	69.980694198488	5.98877287143798e-17	-1	2.75839130110631e-12	Down	Down	
8:39008497|39021487	ENSSSCG00000008831	DCUN1D4	circDCUN1D4_4	-3.20156831865354	-3.90386516398404	68.9730343071909	9.98189763360151e-17	-1	3.72542957495899e-12	Down	Down	
3:15120818|15124090	ENSSSCG00000026457	GALNT17	circGALNT17_2	-4.04650450499848	-4.69359614462225	68.5759116776227	1.22086319793948e-16	-1	3.98692716314104e-12	Down	Down	
1:260531642|260533735	ENSSSCG00000028117	CDK5RAP2	circCDK5RAP2_15	-3.47411306479631	-4.31033493064345	68.1486412660969	1.5162391598929e-16	-1	4.40135588043889e-12	Down	Down	
1:264103483|264109507	ENSSSCG00000005582	STRBP	circSTRBP_39	-3.19194190196966	-3.95456762757993	67.8521647482541	1.76225000147069e-16	-1	4.60393099634223e-12	Down	Down	
2:88144038|88147594	ENSSSCG00000014113	HOMER1	circHOMER1_4	-2.61620783707455	-2.32648505080269	65.7577923246457	5.09885749144044e-16	-1	1.21099256019208e-11	Down	Down	
2:102600361|102607285	ENSSSCG00000048636		circENSSSCG00000048636_2	-2.57759616985679	-2.2013699639676	63.9640207708268	1.26712306221269e-15	-1	2.20693134248169e-11	Down	Down	
