circ_name	circ_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	W30_1SF	W30_2SF	W30_3SF	W30_1PF	W30_2PF	W30_3PF	Z30_1SF	Z30_2SF	Z30_3SF	Z30_1_PF	Z30_3PF
sus_circ7:78055271|78056399	7:78055271|78056399	26.4910941896874	1.83593990566231	0.390137742537832	4.7058761700921	2.52777927266516e-06	0.000635161991786047	27.8256444752625	30.3702726857798	45.8716104803493	49.1658784502815	38.1722384546944	43.8200481142662	4.28452895517136	6.52207429825544	22.6890716296813	9.72718245840314	12.9534860844161
sus_circ9:121637358|121643233	9:121637358|121643233	3.92803977336456	3.39124823467424	0.959217397644828	3.53543236705338	0.000407108443780544	0.0231819027066422	11.7160608316895	11.5696276898209	3.90396684939143	2.18515015334584	5.964412258546	4.99215738010628	0.61207556502448	0	1.03132143771279	0	1.23366534137297
sus_circACACA_110	12:38796303|38800438	67.4938145803256	4.39340577902237	0.469516115931217	9.35730559601493	8.17959333584107e-21	1.13041979901324e-17	161.095836435731	69.4177661389254	214.718176716529	44.7955781435898	146.724541560232	77.1010973149747	1.83622669507344	5.43506191521286	8.2505715017023	4.42144657200143	8.63565738961077
sus_circATAD2_36	4:16041990|16046043	3.76901216577565	5.52185832786984	1.10100993690136	5.0152665682658	5.29599879148544e-07	0.000162646007329619	2.92901520792237	8.67722076736567	3.90396684939143	9.8331756900563	8.3501771619644	7.76557814683199	0	0	0	0	0
sus_circCARF_64	15:106444273|106465899	7.60409859376351	2.0024279227081	0.606002275997102	3.30432409583505	0.000952057007840502	0.0446014503334093	20.5031064554566	14.4620346122761	16.5918591099136	5.46287538336461	5.964412258546	6.10152568679656	1.22415113004896	2.17402476608515	5.15660718856394	3.53715725760114	2.46733068274593
sus_circCDC42BPA_100	10:14786194|14794270	4.09688763753336	5.64392309890897	1.06433734349581	5.30275775194691	1.14066244972837e-07	4.50398715864172e-05	7.32253801980593	7.23101730613806	6.831941986435	7.64802553671046	7.1572947102552	8.87494645352227	0	0	0	0	0
sus_circCOG3_34	11:21789455|21805764	2.7043169050888	4.41670668275031	1.16653277121804	3.78618311608905	0.000152978961319604	0.0107187921395749	2.92901520792237	4.33861038368283	1.95198342469571	10.9257507667292	3.5786473551276	4.99215738010628	0	0	1.03132143771279	0	0
sus_circCPEB4_6	16:50437615|50446698	8.74358116155614	2.49928991133387	0.58388323449453	4.28046185209876	1.86505856165452e-05	0.00257751093220655	11.7160608316895	11.5696276898209	18.5438425346093	13.1109009200751	14.3145894205104	15.531156293664	4.28452895517136	2.17402476608515	0	0	4.93466136549187
sus_circCUL1_22	9:109488214|109503678	1.72143697474595	4.32706130716721	1.30378614143701	3.31884284519086	0.000903912850245194	0.043831844176802	4.39352281188356	7.23101730613806	0.975991712347857	1.09257507667292	3.5786473551276	1.66405246003543	0	0	0	0	0
sus_circDCAF6_2	4:82918471|82923165	4.46064268137457	3.6942243414445	0.931559250036575	3.96563540247113	7.32006834706264e-05	0.00652666739073585	4.39352281188356	11.5696276898209	6.831941986435	4.37030030669169	8.3501771619644	11.0936830669028	1.22415113004896	0	0	0	1.23366534137297
sus_circDPM1_15	17:52366197|52380221	40.7527634401055	8.94963042919652	1.31509579813316	6.80530683916788	1.00834088646561e-11	9.29018070063652e-09	181.598942891187	8.67722076736567	56.6075193161757	87.4060061338338	11.928824517092	102.061884215506	0	0	0	0	0
sus_circDPM1_17	17:52366308|52380221	2.74696921578767	5.04583776935328	1.14294230386921	4.41477907701163	1.01113197470655e-05	0.00174673048630557	4.39352281188356	7.23101730613806	2.92797513704357	7.64802553671046	3.5786473551276	4.43747322676113	0	0	0	0	0
sus_circENSSSCG00000001229_18	7:22889305|22956239	5.24118621613019	5.99716345122902	1.25656886042229	4.77265006329505	1.81817543075209e-06	0.000502543689059877	1.46450760396119	1.44620346122761	10.7359088358264	1.09257507667292	34.5935910995668	8.32026230017713	0	0	0	0	0
