circ_id	gene_id	gene_name	circ_name	logFC	logCPM	LR	PValue	DE	FDR	Regulation	label	annotation
7:121747710|121751830	ENSSSCG00000018957	SNORD113-1	circSNORD113-1_7	3.41245354354427	-0.0821064835254821	154.292978643457	1.99848937095391e-35	1	1.09324363303977e-30	Up	Up	
2:91768020|91784772	ENSSSCG00000014136	VCAN	circVCAN_29	3.46099412172958	-2.75215584184062	121.822823256785	2.52401055252663e-28	1	2.85666643986497e-24	Up	Up	
1:82587980|82594233	ENSSSCG00000004453	SNAP91	circSNAP91_7	3.31389533084635	-1.41235396933637	119.804266890485	6.98209218266313e-28	1	7.63889759428626e-24	Up	Up	
15:69192445|69206646	ENSSSCG00000015898	KCNH7	circKCNH7_24	3.94233594684753	-3.85472348426096	103.513675120604	2.5860297829484e-24	1	2.02092686045025e-20	Up	Up	
1:220009700|220013494			circ1:220009700|220013494	4.20841339744905	-4.18906540090326	94.7877999673888	2.1192775242507e-22	1	1.30529489014801e-18	Up	Up	
AEMK02000452.1:34051|37004			circAEMK02000452.1:34051|37004	2.74843360533799	-2.46788721125325	89.3296794832399	3.34207450603111e-21	1	1.66202884309702e-17	Up	Up	
5:98808700|98831312	ENSSSCG00000024065	TMTC2	circTMTC2_4	2.71535992647103	-2.25399987786446	83.966275775325	5.03287211672441e-20	1	2.06486789877925e-16	Up	Up	
4:17596492|17597118	ENSSSCG00000005992	SHAS2	circSHAS2_1	2.73705467557503	-2.97769651378561	83.8973234498493	5.21150402265969e-20	1	2.11175933558196e-16	Up	Up	
1:13937318|13946945			circ1:13937318|13946945	3.32973655923894	-3.87905778020395	80.5507820953083	2.83329265139793e-19	1	1.06890361762584e-15	Up	Up	
11:12137091|12154145	ENSSSCG00000033919	DCLK1	circDCLK1_18	3.86366802640014	-4.40679322994476	78.0856792994686	9.86666808867556e-19	1	3.5200518116665e-15	Up	Up	
2:96763497|96832031	ENSSSCG00000045004,ENSSSCG00000049102		circENSSSCG00000045004,ENSSSCG00000049102_4	3.58885740879369	-4.29921353441178	75.4263763980734	3.79289193284127e-18	1	1.27031304396846e-14	Up	Up	
7:39887235|39895938	ENSSSCG00000001709	SUPT3H	circSUPT3H_8	2.83830919317615	-3.45706290821212	74.140383221887	7.27546516831826e-18	1	2.3643172802085e-14	Up	Up	
12:23043948|23047980	ENSSSCG00000017510	CACNB1	circCACNB1_1	2.82803549421961	-3.54347116278936	69.5126112125605	7.59274857853051e-17	1	2.19557092708791e-13	Up	Up	
9:99368230|99385468	ENSSSCG00000023784	SEMA3C	circSEMA3C_26	2.55818172786979	-3.18963804926322	69.5040415102763	7.62580961267019e-17	1	2.19557092708791e-13	Up	Up	
11:75989454|76038044	ENSSSCG00000009543		circENSSSCG00000009543_43	2.5002581827279	-3.25763678134405	68.8780181189252	1.04745854564528e-16	1	2.96377492508826e-13	Up	Up	
11:13227222|13249671	ENSSSCG00000009361	POSTN	circPOSTN_1	3.31065568648635	-4.28321515987405	68.2567620378303	1.43533992899843e-16	1	3.99244666809994e-13	Up	Up	
2:91746365|91749304	ENSSSCG00000014136	VCAN	circVCAN_23	2.89308647940759	-3.8587983717025	67.5125497221024	2.09350275517306e-16	1	5.63222596562014e-13	Up	Up	
9:19117140|19149831	ENSSSCG00000014904	DLG2	circDLG2_29	3.00959305784735	-4.01323883174759	66.8925551012371	2.86715654094145e-16	1	7.46873799225669e-13	Up	Up	
9:92135892|92147867	ENSSSCG00000036695	IGF2BP3	circIGF2BP3_5	2.15323320235343	-1.99691754581482	65.909364974718	4.72142927087249e-16	1	1.18295590588934e-12	Up	Up	
2:132325084|132337186	ENSSSCG00000014259	ADAMTS19	circADAMTS19_26	2.17903083857438	-2.1810027283637	65.3887787934986	6.14880092818553e-16	1	1.47311356894159e-12	Up	Up	
15:117071799|117095608	ENSSSCG00000016170	BARD1	circBARD1_4	2.20855767130705	-2.16869322538505	65.2841627895478	6.48403415092827e-16	1	1.54217113989263e-12	Up	Up	
13:166836891|166837551	ENSSSCG00000026130	EPHA3	circEPHA3_12	2.08737931899988	-1.56884149762191	64.8732995118846	7.98720497876908e-16	1	1.85926837257912e-12	Up	Up	
9:24916811|24920113			circ9:24916811|24920113	2.57710273503867	-3.53401762799088	64.6478643969292	8.95533059962891e-16	1	2.05547382149706e-12	Up	Up	
7:121775170|121786686	ENSSSCG00000018918,ENSSSCG00000019064,ENSSSCG00000018325,ENSSSCG00000038498,ENSSSCG00000018389	SNORD113-8,SNORD113-9,SNORD113-7,SNORD113-6,SNORD114-1	circSNORD113-8,SNORD113-9,SNORD113-7,SNORD113-6,SNORD114-1_1	2.99535378923451	-3.88425837027048	64.3978339950917	1.01669861571972e-15	1	2.31737386354266e-12	Up	Up	
7:121770913|121786686	ENSSSCG00000018436,ENSSSCG00000018918,ENSSSCG00000018389,ENSSSCG00000018325,ENSSSCG00000019064,ENSSSCG00000038498,ENSSSCG00000018884	SNORD113-5,SNORD113-8,SNORD114-1,SNORD113-7,SNORD113-9,SNORD113-6,SNORD113-4	circSNORD113-5,SNORD113-8,SNORD114-1,SNORD113-7,SNORD113-9,SNORD113-6,SNORD113-4_7	2.8516756554888	-0.88791477018625	62.6827532882172	2.42832828191765e-15	1	5.27833335774366e-12	Up	Up	
X:66927|75880	ENSSSCG00000038044	GYG2	circGYG2_5	4.0928701284597	-4.81331441177856	62.4195039128336	2.77560732000208e-15	1	5.9935040143316e-12	Up	Up	
16:12145286|12148085	ENSSSCG00000016802	CDH10	circCDH10_6	3.91427641754013	-4.78073495679257	61.3506670251704	4.7762942926472e-15	1	1.00492313399164e-11	Up	Up	
9:50516564|50520175	ENSSSCG00000015145,ENSSSCG00000024299	ZNF202,SCN3B	circZNF202,SCN3B_3	2.36422177584163	-3.26058358611304	60.8621865783028	6.12133959005708e-15	1	1.27161531746084e-11	Up	Up	
1:242592942|242607645	ENSSSCG00000050727		circENSSSCG00000050727_3	2.34417313697767	-1.78795249151404	59.9075409198213	9.94197986168828e-15	1	1.96576299529108e-11	Up	Up	
13:65401048|65408076	ENSSSCG00000033624	SRGAP3	circSRGAP3_8	2.8516144793282	-4.1560645542744	59.6509177512102	1.13266430740208e-14	1	2.18684830376363e-11	Up	Up	
13:95231586|95235353	ENSSSCG00000047852		circENSSSCG00000047852_1	4.28765743453285	-5.03726963729341	59.2905606821718	1.36027468093079e-14	1	2.52243342401008e-11	Up	Up	
12:60316958|60376920	ENSSSCG00000018049	SLC5A10	circSLC5A10_2	3.82946839419446	-4.82357397765615	58.9820195217298	1.59119354319044e-14	1	2.93406256145791e-11	Up	Up	
13:38187456|38188532	ENSSSCG00000024417	ERC2	circERC2_31	3.83319911838884	-4.82076227985123	57.9899824407123	2.6345599444793e-14	1	4.64902096525237e-11	Up	Up	
5:48889600|48911418	ENSSSCG00000029163	BCAT1	circBCAT1_9	2.7851648729902	-4.06575111044802	57.7844352260706	2.92474868835842e-14	1	5.05244178548257e-11	Up	Up	
1:8010483|8029183	ENSSSCG00000004052	FNDC1	circFNDC1_3	3.31815960909694	-4.23563012553201	57.2167800649476	3.90326679349016e-14	1	6.63800067474681e-11	Up	Up	
AEMK02000452.1:34051|39597			circAEMK02000452.1:34051|39597	3.17377816990063	-4.42922381842716	57.012106099702	4.33137373308757e-14	1	7.2533051941211e-11	Up	Up	
2:39434566|39451293	ENSSSCG00000013351	NAV2	circNAV2_25	2.64650262730378	-4.00507556390334	56.8785168743451	4.63582576525412e-14	1	7.64392469769255e-11	Up	Up	
7:121747710|121762492	ENSSSCG00000018957,ENSSSCG00000018261	SNORD113-1	circSNORD113-1_8	4.2229018948991	-5.06362779286256	56.6811943193219	5.12513472284455e-14	1	8.28658543776729e-11	Up	Up	
