circ_id	gene_id	gene_name	circ_name	logFC	logCPM	LR	PValue	DE	FDR	Regulation	label	annotation
3:28903672|28904794	ENSSSCG00000036428		circENSSSCG00000036428_6	-3.37203761690015	0.797000656506725	237.494226092919	1.3838461315506e-53	-1	4.88281804440842e-48	Down	Down	
7:26633929|26664601	ENSSSCG00000001485	MLIP	circMLIP_20	-4.55261399105354	-0.909967854640654	183.827724157688	7.07489886410639e-42	-1	1.24816780740338e-36	Down	Down	
15:84365150|84367753			circ15:84365150|84367753	-3.04540766203706	0.645951711193923	180.67402991027	3.45345443203758e-41	-1	4.06176891872623e-36	Down	Down	
15:84365150|84376623			circ15:84365150|84376623	-4.88881081305989	-0.462862976637091	172.697646915571	1.90546046454761e-39	-1	1.68082573038209e-34	Down	Down	
X:47818210|47826089	ENSSSCG00000041777,ENSSSCG00000024814	PFKFB1	circPFKFB1_27	-5.45712095260955	-1.34018837193481	163.445372766806	1.99951353025451e-37	-1	1.41103270413824e-32	Down	Down	
8:112278893|112294052	ENSSSCG00000009134	EGF	circEGF_32	-4.21115079119503	-4.00828309393311	146.818186507712	8.59956975543115e-34	-1	5.05717765130892e-29	Down	Down	
4:98112898|98118419	ENSSSCG00000006635	SEMA6C	circSEMA6C_3	-4.79486485551779	-4.29675378318377	146.384272925301	1.06987760091666e-33	-1	5.39285560311196e-29	Down	Down	
1:129062737|129078630	ENSSSCG00000004729		circENSSSCG00000004729_33	-2.89939569835122	-1.23693759638043	145.206309748142	1.93578327405658e-33	-1	8.53786891939023e-29	Down	Down	
X:16498488|16513238	ENSSSCG00000012163	RPS6KA3	circRPS6KA3_36	-2.68938960669531	-0.666302368851722	144.459072858058	2.81982744007338e-33	-1	1.10551021473917e-28	Down	Down	
7:26644983|26664601	ENSSSCG00000001485	MLIP	circMLIP_22	-4.41367497598453	-0.118450660108054	139.699790058239	3.09644382270581e-32	-1	1.09256162417881e-27	Down	Down	
15:93199516|93223292	ENSSSCG00000016033	GULP1	circGULP1_29	-2.965784561168	-2.47415570557042	137.957656288524	7.44474463214243e-32	-1	2.38803043180333e-27	Down	Down	
3:101017984|101026905	ENSSSCG00000008475	MAP4K3	circMAP4K3_17	-3.14103047394178	-3.03938901379583	136.079676616858	1.916824006055e-31	-1	5.63616541327059e-27	Down	Down	
